PERMNO,date,TICKER,PRC
57665,2019/05/10,NKE,83.95000
57665,2019/05/13,NKE,82.53000
57665,2019/05/14,NKE,83.67000
57665,2019/05/15,NKE,84.01000
57665,2019/05/16,NKE,84.28000
57665,2019/05/17,NKE,84.57000
57665,2019/05/20,NKE,82.85000
57665,2019/05/21,NKE,83.64000
57665,2019/05/22,NKE,83.20000
57665,2019/05/23,NKE,82.64000
57665,2019/05/24,NKE,82.16000
57665,2019/05/28,NKE,81.20000
57665,2019/05/29,NKE,78.87000
57665,2019/05/30,NKE,79.26000
57665,2019/05/31,NKE,77.14000
57665,2019/06/03,NKE,77.96000
57665,2019/06/04,NKE,81.62000
57665,2019/06/05,NKE,82.72000
57665,2019/06/06,NKE,82.45000
57665,2019/06/07,NKE,83.41000
57665,2019/06/10,NKE,82.58000
57665,2019/06/11,NKE,83.26000
57665,2019/06/12,NKE,82.63000
57665,2019/06/13,NKE,83.61000
57665,2019/06/14,NKE,83.44000
57665,2019/06/17,NKE,82.11000
57665,2019/06/18,NKE,84.30000
57665,2019/06/19,NKE,83.55000
57665,2019/06/20,NKE,85.24000
57665,2019/06/21,NKE,85.75000
57665,2019/06/24,NKE,84.50000
57665,2019/06/25,NKE,82.62000
57665,2019/06/26,NKE,82.55000
57665,2019/06/27,NKE,83.66000
57665,2019/06/28,NKE,83.95000
59176,2019/04/01,AXP,111.70000
59176,2019/04/02,AXP,111.00000
59176,2019/04/03,AXP,110.56000
59176,2019/04/04,AXP,110.12000
59176,2019/04/05,AXP,110.96000
59176,2019/04/08,AXP,110.70000
59176,2019/04/09,AXP,109.85000
59176,2019/04/10,AXP,110.16000
59176,2019/04/11,AXP,109.85000
59176,2019/04/12,AXP,110.91000
59176,2019/04/15,AXP,110.53000
59176,2019/04/16,AXP,111.88000
59176,2019/04/17,AXP,111.76000
59176,2019/04/18,AXP,113.67000
59176,2019/04/22,AXP,112.33000
59176,2019/04/23,AXP,113.97000
59176,2019/04/24,AXP,114.02000
59176,2019/04/25,AXP,115.88000
59176,2019/04/26,AXP,117.60000
59176,2019/04/29,AXP,116.76000
59176,2019/04/30,AXP,117.23000
59176,2019/05/01,AXP,117.02000
59176,2019/05/02,AXP,117.25000
59176,2019/05/03,AXP,119.35000
59176,2019/05/06,AXP,119.34000
